Authors,Author Full Names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Rad M.S.; Shahbahrami A.,"Rad, Mehdi Samee (57189346344); Shahbahrami, Asadollah (8865277800)",57189346344; 8865277800,Detecting high risk taxpayers using data mining techniques,2017,"Proceedings - 2016 2nd International Conference of Signal Processing and Intelligent Systems, ICSPIS 2016",,,7869895,,,,9,10.1109/ICSPIS.2016.7869895,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016567729&doi=10.1109%2fICSPIS.2016.7869895&partnerID=40&md5=8e3a9d3c4fc0364460dbd5ce150f5344,"Islamic Azad University, Rasht Branch Faculty of Engineering, Rasht, Iran; Department of Computer Engineering, Faculty of Engineering, University of Guilan, Rasht, Iran","Risk refers to a set of events that lead to loss but risk from the tax perspective refers to the taxpayers' behaviors that may lead to negligence from the public property by the taxpayers due to tax evasion. Such actions cause unusual volatilities in the amounts envisaged in the government budgeting. The fiscal and financial transactions outside the scope of the precautionary bound and failure to achieve the expected revenues of the country. One of the most important types of tax risks is concealing the information on buying, selling and contracts that in case of being uncovered in the financial sector it leads to the issuance of amendments to taxpayers. But if it is uncovered in the due course, it leads to the non-fulfillment of tax collection and thus negative financial waves at the national level and ultimately leads to detrimental financial impact to the financial framework of states and countries. The main purpose of this paper is to analyze, design and implement a system to extract high risk taxpayers and provide a model to forecast the amount of tax assessment notification of the taxpayers for the coming years so that it would play the role of the assistance system for the tax experts to issue the assessment notifications with realistic amounts during the assessment and tax audit to prevent major errors in the tax assessment. To extract high risk taxpayers using the variance and the mean standard deviation the suspicious financial behavior is detected and then the previously supervised data that exist in the tax base as amendment forms are used to classify the taxpayers and also the job coefficient field is used and high risk occupations are identified and classified. One of the strongest and best practices in this field is the use of statistical and financial calculations in time domain. The main feature is the amount of taxable income based on which the purchasing, sales, revenue and profit can be calculated. By studying the volatilities and noise detection in the amounts paid by taxpayers during the past years and also creating linear regression analysis it has been possible to discover the risk levels and forecast of the tax assessment notification for the coming years. Also using this technique tax assessment notification error tolerance of the previous years is obtained. Finally the high risk taxpayer detection system known as HTS is provided with the best and quickest manner possible. © 2016 IEEE.",artificial neural networks; big data; Data mining; machine learning; task risk assessment; tax fraud detection,Big data; Budget control; Deep neural networks; Finance; Intelligent systems; Learning systems; Neural networks; Regression analysis; Risk assessment; Risk perception; Sales; Signal processing; Taxation; Time domain analysis; Assistance system; Design and implements; Financial sectors; Financial transactions; Fraud detection; High-risk occupations; Mean standard deviation; Task risk assessments; Data mining,Taheri H.,Institute of Electrical and Electronics Engineers Inc.,,978-150905820-4,,English,Conference paper,Final,,Scopus,2-s2.0-85016567729
Rahman R.A.; Masrom S.; Omar N.,"Rahman, Rahayu Abdul (57190947483); Masrom, Suraya (36176242600); Omar, Normah (35784816800)",57190947483; 36176242600; 35784816800,Tax avoidance detection based on machine learning of malaysian government-linked companies,2019,International Journal of Recent Technology and Engineering,8,2 Special Issue 11,,535,541,6,7,10.35940/ijrte.B1083.0982S1119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074428264&doi=10.35940%2fijrte.B1083.0982S1119&partnerID=40&md5=5822e78dc38d180f3373bd562d5d4b9b,"Faculty of Accountancy, Universiti Teknologi MARA, Perak Branch, Tapah Campus, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA, Perak Branch, Tapah Campus, Malaysia; Accounting Research Institute, Universiti Teknologi MARA, Selangor, Malaysia",Machine learning has been widely used in solving the problem of prediction and classification. It is also beneficial in the problem of tax avoidance detection. This study presents the utilization of machine learning classification approach for detecting tax avoidance of Malaysian government-linked companies (GLCs). There were nine machine learnings algorithms have been used on the real dataset collected from datastream and companies annual reports. The performance of these algorithms have been observed based on different training approaches and different features selection. The findings have revealed that the accuracy of results from each machine learnings were divergent according to the training approaches and features selection. ©BEIESP.,Government-linked companies; Machine learning; Prediction; Real dataset; Tax avoidance,,,Blue Eyes Intelligence Engineering and Sciences Publication,22773878,,,English,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85074428264
Rahman R.A.; Masrom S.; Omar N.; Zakaria M.,"Rahman, Rahayu Abdul (57190947483); Masrom, Suraya (36176242600); Omar, Normah (35784816800); Zakaria, Maheran (56021476200)",57190947483; 36176242600; 35784816800; 56021476200,An application of machine learning on corporate tax avoidance detection model,2020,IAES International Journal of Artificial Intelligence,9,4,,721,725,4,10,10.11591/ijai.v9.i4.pp721-725,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098201253&doi=10.11591%2fijai.v9.i4.pp721-725&partnerID=40&md5=7e107a9ea32317604e5eb0d212b37ac7,"Faculty of Accountancy, Universiti Teknologi Mara, Perak Branch, Tapah Campus, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi Mara, Perak Branch, Tapah Campus, Malaysia; Accounting Research Institute, Universiti Teknologi Mara, Selangor, Malaysia; Faculty of Accountancy, Universiti Teknologi Mara, Kelantan Branch, Machang Campus, Malaysia","Corporate tax avoidance reduces government revenues which could limit country development plans. Thus, the main objectives of this study is to establish a rigorous and effective model to detect corporate tax avoidance to assist government to prevent such practice. This paper presents the fundamental knowledge on the design and implementation of machine learning model based on five selected algorithms tested on the real dataset of 3,365 Malaysian companies listed on bursa Malaysia from 2005 to 2015. The performance of each machine learning algorithms on the tested dataset has been observed based on two approaches of training. The accuracy score for each algorithm is better with the cross-validation training approach. Additionationally, with the cross-validation training approach, the performances of each machine learning algorithm were tested on different group of features selection namely industry, governance, year and firm characteristics. The findings indicated that the machine learning models present better reliability with industry, governance and firm characteristics features rather than single year determinant mainly with the Random Forest and Logistic Regression algorithms. © 2020, Institute of Advanced Engineering and Science. All rights reserved.",Machine learning; Malaysia; Prediction; Tax avoidance,,,Institute of Advanced Engineering and Science,20894872,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85098201253
Raikov A.,"Raikov, A. (36806473600)",36806473600,Decreasing tax evasion by artificial intelligence,2021,IFAC-PapersOnLine,54,13,,172,177,5,8,10.1016/j.ifacol.2021.10.440,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120703338&doi=10.1016%2fj.ifacol.2021.10.440&partnerID=40&md5=1b1b05553c5cd52a13a9dd6e5e348484,"Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation","The paper addresses an approach to combat corporate tax evasion by using the possibility of indirect accounting of latent factors in taxation processes. Value chains formed in the digital environment are increasingly falling out of government control, and digital platforms allow the building of relationships that are opaque for tax authorities. The digital market itself is becoming a factor that creates new value and possibilities. The sharing society is self-learning to reduce the tax base: business is getting rid of intermediaries, eliminating the regulator, and avoiding double taxation and taxation in general. This is happening against the backdrop of the chaotic development of the global financial system. The paper's idea is based on creating a decision-making system for predicting tax evasion events by forming a special information framework of potentially suspicious events, using methods of deep learning of neural networks, and cognitive modelling. The latter was enriched with non-formalizable cognitive semantics, which increases the transparency of tax events. In real practice, the approach has helped to diagnose suspicious tax evasion cases during supplying products for the Arctic zone of Russia. © 2021 The Authors. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0/)",Artificial intelligence; Cognitive modelling; Cognitive semantics; Tax avoidance; Tax evasion,Decision making; Deep learning; Semantics; Cognitive model; Cognitive semantics; Control platform; Digital environment; Digital platforms; Latent factor; Tax authorities; Tax avoidance; Tax evasions; Value chains; Taxation,,Elsevier B.V.,24058963,,,English,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85120703338
Raja Wahab R.A.S.; Bakar A.A.,"Raja Wahab, Raja Azhan Syah (57226665594); Bakar, Azuraliza Abu (34867751400)",57226665594; 34867751400,Digital economy tax compliance model in Malaysia using machine learning approach,2021,Sains Malaysiana,50,7,,2059,2077,18,9,10.17576/jsm-2021-5007-20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112345604&doi=10.17576%2fjsm-2021-5007-20&partnerID=40&md5=7f78efe22d53455c5e178b91a6867cfa,"Sub Section of Strategic Planning, Strategic Management and Information ICT, Department of Information Technology, Inland Revenue Board of Malaysia, Selangor Darul Ehsan, Cyberjaya, 63000, Malaysia; Center for Artificial Intelligence Technology, Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, UKM Bangi, Selangor Darul Ehsan, 43600, Malaysia","The field of digital economy income tax compliance is still in its infancy. The limited collection of government income taxes has forced the Inland Revenue Board of Malaysia (IRBM) to develop a solution to improve the tax compliance of the digital economy sector so that its taxpayers may report voluntary income or take firm action. The ability to diagnose the taxpayer’s compliance will ensure the IRBM effectively collects the income tax and gives revenues to the country. However, it gives challenges in extracting necessary knowledge from a large amount of data, leading to the need for a predictive model to detect the taxpayers’ compliance level. This paper proposes the descriptive and predictive analytics models for predicting the digital economic income tax compliance in Malaysia. We conduct descriptive analytics to explore and extract a summary of data for initial understanding. Through a brief description of the descriptive model, the data distribution in a histogram shows that the information extracted can give a clear picture in influencing the results to classify digital economic tax compliance. In predictive modeling, single and ensemble approaches are employed to find the best model and important factors contributing to the incompliance of tax payment among the digital economic retailers. Based on the validation of training data with the presence of seven single classifier algorithms, three performance improvements have been established through ensemble classification, namely wrapper, boosting, and voting methods, and two techniques involving grid search and evolution parameters. The experimental results show that the ensemble method can improve the single classification model’s accuracy with the highest classification accuracy of 87.94% compared to the best single classification model. The knowledge analysis phase learns meaningful features and hidden knowledge that could classify the contexts of taxpayers that could potentially influence the degree of tax compliance in the digital economy are categorized. Overall, this collection of information has the potential to help stakeholders make future decisions on the tax compliance of the digital economy. © 2021 Penerbit Universiti Kebangsaan Malaysia. All rights reserved.",Accuracy; Compliance; Ensemble; Parameter tuning; Single classification; Taxpayer,Malaysia; accuracy assessment; classification; compliance; ensemble forecasting; information and communication technology; machine learning; tax system,,Penerbit Universiti Kebangsaan Malaysia,1266039,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85112345604
Rajendran S.; Kongot A.; Varma K.,"Rajendran, Savithaa (58591850500); Kongot, Aparna (57196005046); Varma, Kratika (58581594500)",58591850500; 57196005046; 58581594500,Ethical AI Based Decision Making to Reduce Tax Related Debts for Governments,2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14050 LNAI,,,460,476,16,0,10.1007/978-3-031-35891-3_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171444455&doi=10.1007%2f978-3-031-35891-3_28&partnerID=40&md5=0373c45628ad54afe6f25ffa514cbbb5,"SAP Labs India Private Limited, Bengaluru, India; Bengaluru, India","Piled up debts, missed revenue targets, inefficient manual processes and large data volumes in tax agencies have created a demand for intelligent systems that can assist tax agents to efficiently handle the tax recovery processes. This could help tax agents focus on strategic initiatives instead of avoidable manual tasks. Design Thinking, generative interviews, and naturalistic observation with a diverse set of user profiles were adopted to get clarity on the revenue authority’s vision, business process flows and user journeys. A risk score-based machine learning application was built to combine the power of AI and human judgement for better informed decision making and explainable AI helped to put humans in the loop. Usability tests were conducted with distinct user groups to refine the user experience. With initial test results of the algorithm showing good accuracy levels, the vision is to help governments to improve overall business efficiency by reducing the tax gap and increasing revenue. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Design Thinking; Explainable AI; Human Centered Design Process; Tax payment processes,Decision making; Design; Intelligent systems; Learning systems; User interfaces; Decisions makings; Design thinking; Design-process; Explainable AI; Human centered design process; Human-centred designs; Large data volumes; Manual process; Process data; Tax payment process; Taxation,Degen H.; Ntoa S.,Springer Science and Business Media Deutschland GmbH,3029743,978-303135890-6,,English,Conference paper,Final,,Scopus,2-s2.0-85171444455
Richins D.; Doshi D.; Blackmore M.; Nair A.T.; Pathapati N.; Patel A.; Daguman B.; Dobrijalowski D.; Illikkal R.; Long K.; Zimmerman D.; Reddi V.J.,"Richins, Daniel (35312079900); Doshi, Dharmisha (57216649359); Blackmore, Matthew (57216649401); Nair, Aswathy Thulaseedharan (57220702773); Pathapati, Neha (57216648876); Patel, Ankit (57216650387); Daguman, Brainard (57216646843); Dobrijalowski, Daniel (57216648468); Illikkal, Ramesh (8403474200); Long, Kevin (57189331304); Zimmerman, David (57189328959); Reddi, Vijay Janapa (8977946300)",35312079900; 57216649359; 57216649401; 57220702773; 57216648876; 57216650387; 57216646843; 57216648468; 8403474200; 57189331304; 57189328959; 8977946300,AI Tax: The Hidden Cost of AI Data Center Applications,2021,ACM Transactions on Computer Systems,37,01-Apr,3440689,,,,5,10.1145/3440689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109101254&doi=10.1145%2f3440689&partnerID=40&md5=65658087bc2e52498d19c8d6a3fccd44,"The University of Texas, Austin, United States; Intel, 1900 Prairie City Rd, Folsom, 95630, CA, United States; Harvard University, The University of Texas, Austin, United States","Artificial intelligence and machine learning are experiencing widespread adoption in industry and academia. This has been driven by rapid advances in the applications and accuracy of AI through increasingly complex algorithms and models; this, in turn, has spurred research into specialized hardware AI accelerators. Given the rapid pace of advances, it is easy to forget that they are often developed and evaluated in a vacuum without considering the full application environment. This article emphasizes the need for a holistic, end-to-end analysis of artificial intelligence (AI) workloads and reveals the ""AI tax.""We deploy and characterize Face Recognition in an edge data center. The application is an AI-centric edge video analytics application built using popular open source infrastructure and machine learning (ML) tools. Despite using state-of-the-art AI and ML algorithms, the application relies heavily on pre-and post-processing code. As AI-centric applications benefit from the acceleration promised by accelerators, we find they impose stresses on the hardware and software infrastructure: storage and network bandwidth become major bottlenecks with increasing AI acceleration. By specializing for AI applications, we show that a purpose-built edge data center can be designed for the stresses of accelerated AI at 15% lower TCO than one derived from homogeneous servers and infrastructure.  © 2021 ACM.",AI tax; end-to-end AI application,Digital storage; Face recognition; Machine learning; Open source software; Application environment; Complex algorithms; End-to-end analysis; Hardware and software; Network bandwidth; Specialized hardware; State of the art; Video analytics; Application programs,,Association for Computing Machinery,7342071,,ACSYE,English,Article,Final,,Scopus,2-s2.0-85109101254
Ro Y.; Wang Z.; Chidambaram V.; Akella A.,"Ro, Yeonju (57224590603); Wang, Zhangyang (56288839400); Chidambaram, Vijay (48160948600); Akella, Aditya (8383144400)",57224590603; 56288839400; 48160948600; 8383144400,Lowering the Pre-training Tax for Gradient-based Subset Training: A Lightweight Distributed Pre-Training Toolkit,2023,Proceedings of Machine Learning Research,202,,,29130,29142,12,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174394604&partnerID=40&md5=c1239ac277e44a3ef387132e98c46ee1,"The University of Texas, Austin, United States; VMware Research, United States","Training data and model sizes are increasing exponentially. One way to reduce training time and resources is to train with a carefully selected subset of the full dataset. Prior work uses the gradient signals obtained during a warm-up or “pretraining” phase over the full dataset, for determining the core subset; if the pre-training phase is too small, the gradients obtained are chaotic and unreliable. As a result, the pre-training phase itself incurs significant time/resource overhead, and prior work has not gone beyond hyperparameter search to reduce pre-training time. Our work explicitly aims to reduce this pre-training tax in gradient-based subset training. We develop a principled, scalable approach for pre-training in a distributed setup. Our approach is lightweight and minimizes communication between distributed worker nodes. It is the first to utilize the concept of model-soup based distributed training at initialization. The key idea is to minimally train an ensemble of models on small, disjointed subsets of the data; we further employ data-driven sparsity and data augmentation for local worker training to boost ensemble diversity. The centralized model, obtained at the end of pre-training by merging the per-worker models, is found to offer stabilized gradient signals to select subsets, on which the main model is further trained. We have validated the effectiveness of our method through extensive experiments on CIFAR-10/100, and ImageNet, using ResNet and WideResNet models. For example, our approach is shown to achieve 15.4× pre-training speedup and 2.8× end-to-end speedup on CIFAR10 and ResNet18 without loss of accuracy. The code is at https://github.com/moonbucks/LiPT.git. © 2023 Proceedings of Machine Learning Research. All rights reserved.",,Set theory; Chaotics; Data size; Gradient based; Model size; Pre-training; Training data; Training model; Training phasis; Training time; Warm up; Machine learning,Krause A.; Brunskill E.; Cho K.; Engelhardt B.; Sabato S.; Scarlett J.,ML Research Press,26403498,,,English,Conference paper,Final,,Scopus,2-s2.0-85174394604
Saavedra S.; Romero M.,"Saavedra, Santiago (57213813560); Romero, Mauricio (57200818829)",57213813560; 57200818829,Local incentives and national tax evasion: The response of illegal mining to a tax reform in Colombia,2021,European Economic Review,138,,103843,,,,5,10.1016/j.euroecorev.2021.103843,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111621457&doi=10.1016%2fj.euroecorev.2021.103843&partnerID=40&md5=f988c8c76dbfc8b30290a109cc960672,"Universidad del Rosario, Department of Economics, Colombia; ITAM, Centro de Investigación Económica, Mexico","Achieving a fair distribution of resources is one of the goals of fiscal policy. To this end, governments often transfer tax resources from richer to more marginalized areas. In the context of mining in Colombia, we study whether lower transfers to the locality where the taxed economic activity takes place dampen local authorities’ incentives to curb tax evasion. Using machine learning predictions on satellite imagery to identify mines allows us to overcome the challenge of measuring evasion. Employing difference-in-differences strategies, we find that reducing the share of revenue transferred back to mining municipalities leads to an increase in illegal mining. This result highlights the difficulties inherent in adequately redistributing tax revenues. © 2021 Elsevier B.V.",Colombia; Illegal mining; Satellite images; Tax evasion,Colombia; machine learning; mining; satellite imagery; tax incentive; tax reform; tax system,,Elsevier B.V.,142921,,,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85111621457
Saleh A.R.; Elsaban M.A.; Saleh M.M.; AbdelSalam H.M.,"Saleh, Amal R. (58714498900); Elsaban, Motaz A. (58712761100); Saleh, Mohamed M. (55216860300); AbdelSalam, Hisham M. (12140363300)",58714498900; 58712761100; 55216860300; 12140363300,Real Estate Tax Prediction using Deep Neural Network and Bayesian Optimization,2023,International Journal of Intelligent Engineering and Systems,16,6,,576,589,13,0,10.22266/ijies2023.1231.48,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177688709&doi=10.22266%2fijies2023.1231.48&partnerID=40&md5=07c50dc5d1dcee84857f75ebd76ad36e,"Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt","Real estate tax base assessment and evaluation systems are crucial for financing public services and digital economy transformation. To automate and unify complex tax procedures, an intelligent taxation model is needed. Deep learning neural network (DLNN) models have been limited for small-scale, high-dimensional data, but this paper creates an automated model using DLNN, offering superiority, interpretability, and dependability. The model offers lower error levels and high accuracy. The intelligent automated taxation model will improve real estate tax inspection offices efficiency by enabling precise tax base assessments and valuations. Deep learning techniques may enhance real estate price projections, resulting in more precise assessments of taxes. The findings reveal that, compared to other benchmark price predictors, the proposed model achieves greater accuracy (95%–99%) in different datasets and it has the potential to be generalized for real estate taxation authorities and tax inspection offices. The approach is helpful in automated real estate price prediction and taxation applications. This ground-breaking research study proposes a revolutionary strategy that employs deep learning neural network DLNN and challenges the conventional approaches to real estate tax base assessment. © (2023), (Intelligent Network and Systems Society). All Rights Reserved.",Bayesian optimization method; Deep neural networks; Hyperparameter optimization; Real estate price prediction; Real estate tax assessment,,,Intelligent Network and Systems Society,2185310X,,,English,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85177688709
Saleh A.R.; Elsaban M.A.; Saleh M.M.; AbdelSalam H.M.,"Saleh, Amal R. (58714498900); Elsaban, Motaz A. (58712761100); Saleh, Mohamed M. (55216860300); AbdelSalam, Hisham M. (12140363300)",58714498900; 58712761100; 55216860300; 12140363300,Real Estate Tax Prediction Using Hybrid Deep Learning Models,2024,International Journal of Intelligent Engineering and Systems,17,5,,221,233,12,0,10.22266/ijies2024.1031.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201470663&doi=10.22266%2fijies2024.1031.19&partnerID=40&md5=15245a699b9d5dbb7440131f487afc1a,"Faculty of Computers and Artificial Intelligence, Cairo University, Giza, Egypt","Future Real estate tax assessment and evaluation systems play a significant role in supporting public services and digital economy transformation. To automate and integrate complicated tax procedures, an intelligent taxation model is required. This research develops an automated hybrid deep learning neural network by integrating a multilayer perceptron (MLP), bidirectional long short-term memory neural network (BiLSTM) and attention mechanism (AM) model which is limited for non-stationary, non-linearity real estate data offering superiority, interpretability, and dependability. The model has low error rates and great accuracy. The automated taxation model will enhance real estate tax inspection offices’ efficiency by allowing for precise future tax base assessments and values. Deep learning neural network (DLNN) approaches can improve real estate price estimates and lead to more accurate tax assessments. The suggested model outperforms other benchmark price predictors (93%–98%) across many datasets and can be used for real estate taxation and inspection offices. The approach is useful for automated real estate price prediction and taxation applications. This research study proposes a revolutionary strategy that employs a hybrid deep learning neural network DLNN and challenges the conventional approaches to real estate tax base assessment future trends. © (2024), (Intelligent Network and Systems Society). All rights reserved.",Attention mechanism; Bidirectional long short-term memory neural network; Deep learning; Real estate price prediction; Real estate tax assessment,,,Intelligent Network and Systems Society,2185310X,,,English,Article,Final,,Scopus,2-s2.0-85201470663
Saltman R.B.,"Saltman, Richard B. (7003327775)",7003327775,Structural effects of the information revolution on tax-funded European health systems and some potential policy responses,2019,Israel Journal of Health Policy Research,8,1,8,,,,13,10.1186/s13584-018-0284-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059797750&doi=10.1186%2fs13584-018-0284-2&partnerID=40&md5=4f73242664c7b26952637a161deb1d4e,"Department of Health Policy and Management, Rollins School of Public Health, Emory University, 1518 Clifton Rd NE, Atlanta, 30338, GA, United States","The ongoing information revolution has re-configured the policymaking arena for tax-funded health systems in Europe. A combination of constrained public revenues with rapid technological and clinical change has created a particularly demanding set of operational challenges. Tax-funded health systems face three ongoing struggles: 1) finding badly needed new public revenues despite inadequate GDP growth 2) channeling additional funds into new high-quality provider capacity 3) re-configuring the stasis-tied organizational structure and operations of existing public providers. This commentary reviews key elements of this new information-revolution-driven context, followed by a consideration of seven specific policy challenges that it creates and/or worsens for tax-funded European systems going forward. © 2019 The Author(s).",European health policy; European health systems; health services reform; health systems management; Tax-funded health systems,Europe; Financial Management; Government Programs; Health Care Reform; Health Policy; Humans; Income Tax; Information Science; biosimilar agent; Article; breast cancer; cost benefit analysis; cost effectiveness analysis; drug cost; glaucoma; government; health care cost; health care delivery; health care facility; health care personnel; health care policy; health care quality; health insurance; health promotion; heart failure; household income; human; immunotherapy; machine learning; nuclear magnetic resonance imaging; obesity; personalized medicine; policy; priority journal; reimbursement; residential care; social insurance; tax; Europe; financial management; health care policy; information science; procedures; tax,,BioMed Central Ltd.,20454015,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85059797750
Sampa A.W.; Phiri J.,"Sampa, Anthony Willa (58623831800); Phiri, Jackson (57207799599)",58623831800; 57207799599,Prediction Model for Tax Assessments Using Data Mining and Machine Learning,2023,Lecture Notes in Networks and Systems,724 LNNS,,,1,14,13,0,10.1007/978-3-031-35314-7_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172732864&doi=10.1007%2f978-3-031-35314-7_1&partnerID=40&md5=20550bf20cd4d00bffc6e59d08d9c25d,"University of Zambia, Lusaka, Zambia; Department of Computer Science Lusaka, University of Zambia, Lusaka, Zambia","Tax administration remains an integral part of a country’s economic growth. Most tax administrations across the world face similar challenges in the collection process, the most common of which is the compliance. It is important therefore to be able to detect revenue leakages as much as possible in order to increase overall collection. In this research we reviewed the tax assessment process that attempts to detect revenue leakages due to under declarations, fraud and declaration errors. We developed a machine-learning model using supervised learning to detect declaration audit and assessment selections that are likely to lead to a significantly high revenue collection from these leakages. Due to the large volumes of audit cases generated by audit selection methods, some of which yield very little collections after the audits, it was important to intelligently separate cases that are likely lead to smaller insignificant revenue collection from the cases that yield significant revenue against in comparison with resources used to perform audits and assessments. The test results from the model we created produced positive results with an accuracy of 83%. The results showed that the model would help the revenue authority effectively increase revenue collections with the same amount of resources. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Assessment; Audit; Compliance; Machine Learning; Tax,Data mining; Economics; Machine learning; Assessment; Audit; Collection process; Compliance; Economic growths; Integral part; Machine-learning; Prediction modelling; Revenue leakage; Tax assessment; Taxation,Silhavy R.; Silhavy P.,Springer Science and Business Media Deutschland GmbH,23673370,978-303135313-0,,English,Conference paper,Final,,Scopus,2-s2.0-85172732864
Savić M.; Atanasijević J.; Jakovetić D.; Krejić N.,"Savić, Miloš (37089298800); Atanasijević, Jasna (57189851300); Jakovetić, Dušan (36133203400); Krejić, Nataša (6603438813)",37089298800; 57189851300; 36133203400; 6603438813,Tax evasion risk management using a Hybrid Unsupervised Outlier Detection method,2022,Expert Systems with Applications,193,,116409,,,,20,10.1016/j.eswa.2021.116409,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122575466&doi=10.1016%2fj.eswa.2021.116409&partnerID=40&md5=48d49780879352ac11b86d69f40e42d0,"University of Novi Sad, Faculty of Sciences, Department of Mathematics and Informatics, Trg Dositeja Obradovića 4, Novi Sad, 21000, Serbia","Big data methods are becoming an important tool for tax fraud detection around the world. Unsupervised learning approach is the dominant framework due to the lack of label and ground truth in corresponding datasets, although these methods suffer from lower interpretability and precision compared with supervised approaches. In contrast to prior research works, we examine the possibility of a hybrid unsupervised method for tax evasion risk management that is able to internally validate and explain outliers detected in a given tax dataset. The proposed method, HUNOD (Hybrid UNsupervised Outlier Detection),1 combines clustering and representation learning for robust outlier detection, additionally allowing its users to incorporate relevant domain knowledge into both constituent outlier detection approaches in order to identify outliers relevant for a given economic context. The interpretability of obtained outliers is achieved by training explainable-by-design surrogate models over internally validated outliers. The experimental evaluation of the HUNOD method is conducted on two datasets derived from the database on individual personal income tax declarations collected by the Tax Administration of Serbia. The obtained results show that the method indicates between 90% and 98% internally validated outliers depending on the clustering configuration and employed regularization mechanisms for representational learning. © 2022 Elsevier Ltd",Clustering; Explainable surrogate models; Outlier detection; Representational learning; Tax evasion; Unsupervised learning,Anomaly detection; Data handling; Domain Knowledge; Risk management; Statistics; Unsupervised learning; Clusterings; Detection methods; Explainable surrogate model; Fraud detection; Interpretability; Outlier Detection; Representational learning; Risks management; Surrogate modeling; Tax evasions; Taxation,,Elsevier Ltd,9574174,,ESAPE,English,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85122575466
Scarcella L.,"Scarcella, L. (57208002849)",57208002849,Robot-A(I)rtists and Tax Provisions,2022,Biosystems and Biorobotics,30,,,84,92,8,0,10.1007/978-3-031-04305-5_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129596737&doi=10.1007%2f978-3-031-04305-5_15&partnerID=40&md5=5460989a823c84bdfe47b784173b62eb,"DigiTax Centre, University of Antwerp, Antwerp, Belgium","The use of new technologies to produce art is part of the physiological evolution of art itself. Like the camera contributed to shaping the course of art, it is fascinating to witness how new technologies will mark the future of art. However, using deep learning and other AI techniques to create art leads to many new questions: who is the real author of the work? How should art or creativity be attributed? Can AI make art in its own right? And if yes, can these art pieces fall under the definition of work of art as included in already existing tax provisions? While it is difficult to predict how the deployment of AI will evolve in the following years, existing prototypes give us food for thought on how the current legal framework could be challenged. This chapter offers a primer of the tax questions that emerge in this field. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",,,,Springer Science and Business Media Deutschland GmbH,21953562,,,English,Book chapter,Final,,Scopus,2-s2.0-85129596737
